cuit_comprador;cuit_vendedor;fecha_emision_comprobante;tipo_cbte;nro_cbte_desde;nro_cbte_hasta;punto_de_venta;moneda;cae;importe_total
20000000007;20000000008;20191109;1;83;83;29;PES;70114758;4472046.48
20000000004;20000000004;20180607;1;7;7;52;PES;77866068;5636975.6
20000000010;20000000003;20190315;1;67;67;19;PES;48572686;4561583.22
20000000005;20000000007;20191225;1;72;72;28;PES;71357573;3914749.79
20000000004;20000000002;20180625;1;71;71;84;PES;42362783;8493513.75
20000000002;20000000007;20180422;1;15;15;98;PES;34585888;1454243.85
20000000014;20000000013;20190717;1;82;82;4;PES;32053903;388046.88
20000000004;20000000015;20190115;1;30;30;76;PES;33996871;701881.7
20000000002;20000000014;20180206;1;16;16;53;PES;32433124;5240688.71
20000000008;20000000012;20180419;1;3;3;52;PES;67119860;9089075.64
20000000009;20000000009;20181201;1;83;83;24;PES;93934253;3869138.44
20000000012;20000000007;20191009;1;45;45;4;PES;77454977;3703009.23
20000000002;20000000010;20180508;1;93;93;54;PES;23450839;7901027.29
20000000013;20000000006;20180225;1;40;40;66;PES;38284359;7986595.95
20000000008;20000000007;20190925;1;95;95;99;PES;17432960;3447167.19
20000000011;20000000013;20180122;1;31;31;37;PES;53811969;4289692.37
20000000002;20000000012;20180207;1;25;25;19;PES;30373705;5996426.7
20000000002;20000000002;20180827;1;64;64;66;PES;84992497;65545.52
20000000010;20000000004;20180218;1;79;79;97;PES;79163547;3103220.45
20000000006;20000000008;20181027;1;76;76;90;PES;89679520;1528658.31
20000000015;20000000012;20180612;1;8;8;13;PES;96139720;3832738.17
20000000011;20000000005;20191016;1;10;10;14;PES;10428564;6741713.25
20000000001;20000000002;20180819;1;83;83;59;PES;93413798;823089.58
20000000016;20000000001;20180812;1;15;15;60;PES;70339031;9402899.95
20000000011;20000000012;20190126;1;89;89;46;PES;95242643;7627148.59
20000000006;20000000015;20181226;1;48;48;22;PES;43057809;7799965.63
20000000013;20000000012;20190528;1;52;52;56;PES;92482919;6445929.0
20000000007;20000000007;20181028;1;12;12;11;PES;21989748;344435.54
20000000007;20000000006;20190627;1;50;50;73;PES;32549364;7393204.43
20000000016;20000000004;20180812;1;67;67;69;PES;67033851;7911738.36
20000000016;20000000010;20190509;1;82;82;8;PES;93808811;6475484.94
20000000010;20000000010;20180625;1;19;19;59;PES;50723724;987341.83
20000000014;20000000013;20180912;1;29;29;16;PES;95833835;7689428.8
20000000002;20000000009;20190716;1;74;74;4;PES;96852320;907663.21
20000000002;20000000007;20191008;1;51;51;54;PES;68122305;1917754.31
20000000009;20000000013;20190716;1;92;92;78;PES;30607124;2640622.03
20000000013;20000000003;20180217;1;77;77;16;PES;84733654;2507313.62
20000000010;20000000014;20190522;1;95;95;38;PES;54958767;5859350.18
20000000004;20000000016;20180401;1;17;17;78;PES;43098288;2420545.68
20000000010;20000000010;20190122;1;98;98;99;PES;33270608;3047534.05
20000000010;20000000013;20190421;1;90;90;3;PES;53599475;8297210.14
20000000008;20000000012;20180319;1;37;37;98;PES;81828201;3668932.05
20000000009;20000000005;20180717;1;58;58;54;PES;22461347;8992351.05
20000000006;20000000014;20190615;1;13;13;69;PES;49822752;1384325.4
20000000013;20000000012;20190324;1;18;18;52;PES;93689077;9943564.03
20000000010;20000000005;20190522;1;64;64;37;PES;61652667;8743997.72
20000000007;20000000015;20190302;1;1;1;1;PES;62096994;6174588.42
20000000002;20000000003;20190420;1;74;74;30;PES;32063791;5016389.27
20000000003;20000000014;20180521;1;55;55;31;PES;36582794;98976.87
20000000006;20000000006;20180921;1;61;61;8;PES;88695565;8444719.14
20000000010;20000000010;20181122;1;75;75;69;PES;37573340;7137195.49
20000000016;20000000008;20190305;1;17;17;21;PES;33733961;6780954.68
20000000006;20000000011;20181019;1;23;23;84;PES;85355537;5597551.0
20000000006;20000000006;20190125;1;68;68;78;PES;66924046;5437001.84
20000000008;20000000013;20180605;1;8;8;16;PES;57777826;3859019.07
20000000016;20000000012;20190415;1;34;34;96;PES;16046402;6332042.01
20000000001;20000000008;20180801;1;83;83;17;PES;61847176;1973122.09
20000000008;20000000007;20180910;1;16;16;67;PES;64209272;9888679.28
20000000009;20000000003;20190301;1;53;53;95;PES;58630479;5242164.67
20000000011;20000000006;20190414;1;52;52;24;PES;40243567;1131816.33
20000000006;20000000013;20180705;1;62;62;100;PES;77593375;199334.02
20000000002;20000000007;20190511;1;10;10;97;PES;45403002;435794.2
20000000009;20000000009;20181013;1;50;50;83;PES;95467837;2778496.17
20000000009;20000000005;20180906;1;51;51;14;PES;45742470;4255795.2
20000000003;20000000004;20181117;1;99;99;86;PES;21958780;5645655.82
20000000007;20000000011;20180816;1;33;33;87;PES;50666359;1842291.42
20000000002;20000000007;20180701;1;89;89;91;PES;42688676;6246415.37
20000000003;20000000011;20190914;1;61;61;38;PES;86368899;8869284.64
20000000001;20000000004;20190921;1;19;19;58;PES;69437853;6015725.99
20000000011;20000000002;20190120;1;15;15;94;PES;43953589;3640225.07
20000000007;20000000004;20180515;1;81;81;36;PES;71328202;530781.86
20000000005;20000000008;20190518;1;23;23;65;PES;72259753;371521.67
20000000005;20000000014;20180104;1;38;38;84;PES;48163570;8955313.46
20000000012;20000000010;20191219;1;40;40;98;PES;61562337;8218061.93
20000000002;20000000016;20190622;1;33;33;70;PES;89584452;9500418.63
20000000011;20000000002;20180120;1;20;20;42;PES;78477548;4630391.06
20000000014;20000000012;20190215;1;91;91;19;PES;92642531;4223579.34
20000000003;20000000016;20191118;1;11;11;42;PES;68496822;4390660.22
20000000001;20000000002;20181207;1;59;59;69;PES;85953163;7846084.19
20000000006;20000000006;20190406;1;7;7;24;PES;31728140;4947582.99
20000000015;20000000003;20190521;1;26;26;6;PES;83812586;806020.64
20000000008;20000000009;20180924;1;21;21;56;PES;88718025;3467749.59
20000000016;20000000014;20180317;1;69;69;56;PES;61529779;5362236.33
20000000012;20000000001;20190925;1;1;1;94;PES;64268342;9238567.5
20000000007;20000000015;20180805;1;14;14;57;PES;12234829;5986176.76
20000000003;20000000003;20181104;1;89;89;49;PES;85778636;9964325.54
20000000001;20000000002;20181105;1;79;79;87;PES;34121289;7068042.71
20000000010;20000000003;20181114;1;37;37;63;PES;58940274;4200774.88
20000000008;20000000011;20190210;1;58;58;67;PES;39455351;6600645.09
20000000004;20000000012;20190126;1;17;17;88;PES;13878420;2945537.69
20000000006;20000000002;20190814;1;67;67;2;PES;71643091;3141327.23
20000000015;20000000013;20190323;1;15;15;63;PES;63235745;4916781.88
20000000003;20000000002;20191120;1;37;37;25;PES;52813716;4210671.73
20000000004;20000000001;20181104;1;43;43;61;PES;57853685;9156547.82
20000000008;20000000008;20191012;1;22;22;14;PES;49742520;3872273.9
20000000004;20000000009;20180501;1;40;40;70;PES;34270911;7152511.39
20000000001;20000000004;20191207;1;59;59;81;PES;94677953;2570773.22
20000000007;20000000016;20181127;1;49;49;13;PES;94313903;6388545.04
20000000015;20000000003;20180214;1;29;29;59;PES;70016059;7326215.65
20000000014;20000000009;20190916;1;17;17;50;PES;30563307;9633845.38
20000000006;20000000008;20190519;1;35;35;24;PES;27994023;423315.86
20000000012;20000000010;20180105;1;92;92;16;PES;62554689;5881363.5
20000000015;20000000009;20180723;1;95;95;35;PES;41253154;2722736.54
20000000016;20000000002;20191217;1;71;71;90;PES;45840133;6066475.17
20000000004;20000000002;20181227;1;72;72;10;PES;80753779;8167534.06
20000000010;20000000016;20190805;1;88;88;1;PES;88182096;5533214.57
20000000013;20000000003;20180922;1;47;47;98;PES;37591515;2246094.46
20000000005;20000000009;20180715;1;13;13;66;PES;38438086;4237205.61
20000000011;20000000005;20190106;1;19;19;70;PES;21489365;6137553.38
20000000003;20000000003;20180423;1;98;98;82;PES;35712045;1013536.77
20000000006;20000000004;20191115;1;88;88;80;PES;45184042;1348704.53
20000000003;20000000002;20181124;1;10;10;100;PES;11877556;3026159.1
20000000004;20000000005;20190625;1;30;30;61;PES;80722699;7512267.09
20000000004;20000000007;20180119;1;25;25;82;PES;98135921;4349169.44
20000000004;20000000012;20191015;1;20;20;74;PES;53470977;593660.26
20000000010;20000000001;20190903;1;51;51;72;PES;71609044;1577637.21
20000000006;20000000003;20191019;1;98;98;21;PES;92039628;6291088.11
20000000003;20000000014;20180621;1;21;21;68;PES;57288113;7478770.65
20000000011;20000000004;20190328;1;16;16;42;PES;13650783;4446506.56
20000000009;20000000010;20190415;1;96;96;12;PES;63790423;3224853.81
20000000005;20000000007;20181020;1;16;16;26;PES;47007146;4191654.93
20000000004;20000000002;20191024;1;70;70;18;PES;43622134;7451407.2
20000000016;20000000009;20190705;1;76;76;75;PES;47495062;9234414.68
20000000015;20000000016;20180827;1;31;31;30;PES;36257711;409903.48
20000000009;20000000006;20191121;1;32;32;9;PES;73821254;7390802.44
20000000008;20000000013;20180620;1;79;79;13;PES;65367185;7171501.23
20000000004;20000000010;20181123;1;18;18;28;PES;51117260;4229355.01
20000000011;20000000013;20180327;1;70;70;92;PES;79293236;6498212.61
20000000009;20000000016;20181115;1;53;53;14;PES;43570789;4025965.79
20000000015;20000000007;20190420;1;28;28;75;PES;22148517;8867021.37
20000000012;20000000014;20180813;1;7;7;94;PES;87400452;1263756.22
20000000013;20000000005;20180311;1;67;67;88;PES;88021195;909247.49
20000000002;20000000003;20180326;1;87;87;95;PES;66921375;2683866.19
20000000001;20000000004;20180328;1;51;51;87;PES;93651781;4143172.67
20000000012;20000000007;20180701;1;26;26;78;PES;14264884;4322885.29
20000000016;20000000015;20190325;1;18;18;5;PES;67421614;7378424.47
20000000005;20000000009;20191115;1;13;13;86;PES;73192745;6109487.48
20000000012;20000000004;20190224;1;67;67;40;PES;49129486;771349.51
20000000009;20000000008;20190506;1;6;6;98;PES;69051825;212054.2
20000000005;20000000008;20190805;1;37;37;43;PES;67361109;9528717.76
20000000011;20000000004;20181120;1;53;53;58;PES;99239204;3865479.73
20000000015;20000000015;20190620;1;95;95;12;PES;52508617;6503994.07
20000000008;20000000011;20180324;1;23;23;42;PES;38692834;129920.77
20000000008;20000000007;20180811;1;47;47;65;PES;20885887;9243521.98
20000000003;20000000009;20190808;1;9;9;67;PES;73038634;4794442.05
20000000009;20000000014;20180726;1;38;38;63;PES;28800845;6314278.7
20000000004;20000000013;20180107;1;97;97;2;PES;10052526;9948066.63
20000000012;20000000014;20190522;1;68;68;47;PES;28589239;8351761.89
20000000002;20000000003;20190206;1;97;97;92;PES;13686154;5685771.73
20000000008;20000000014;20190428;1;85;85;12;PES;63751683;7520800.2
20000000014;20000000011;20180618;1;66;66;20;PES;59617120;9976081.88
20000000003;20000000012;20190716;1;55;55;96;PES;19027584;8731020.33
20000000011;20000000004;20180507;1;47;47;91;PES;66622487;7453773.13
20000000002;20000000010;20191109;1;64;64;96;PES;23926916;9651758.28
20000000005;20000000006;20180901;1;78;78;62;PES;44693722;9236102.81
20000000001;20000000007;20180919;1;62;62;20;PES;33573451;969576.35
20000000005;20000000003;20190327;1;25;25;36;PES;50377410;5729601.64
20000000010;20000000014;20181116;1;96;96;2;PES;80129430;1875207.52
20000000004;20000000009;20180227;1;94;94;15;PES;87999889;6258459.13
20000000009;20000000002;20181005;1;88;88;53;PES;77401661;6687286.72
