,cuit_comprador,cuit_vendedor,fecha_emision_comprobante,tipo_cbte,nro_cbte_desde,nro_cbte_hasta,punto_de_venta,cae,moneda,importe_total
1,20000000010,20000000003,20190315,1,67,67,19,48572686,PES,4561583.22
2,20000000005,20000000007,20191225,1,72,72,28,71357573,PES,3914749.79
3,20000000004,20000000002,20180625,1,71,71,84,42362783,PES,8493513.75
4,20000000002,20000000007,20180422,1,15,15,98,34585888,PES,1454243.85
5,20000000014,20000000013,20190717,1,82,82,4,32053903,PES,388046.88
6,20000000004,20000000015,20190115,1,30,30,76,33996871,PES,701881.7
7,20000000002,20000000014,20180206,1,16,16,53,32433124,PES,5240688.71
8,20000000008,20000000012,20180419,1,3,3,52,67119860,PES,9089075.64
9,20000000012,20000000007,20191009,1,45,45,4,77454977,PES,3703009.23
11,20000000013,20000000006,20180225,1,40,40,66,38284359,PES,7986595.95
12,20000000008,20000000007,20190925,1,95,95,99,17432960,PES,3447167.19
13,20000000011,20000000013,20180122,1,31,31,37,53811969,PES,4289692.37
14,20000000002,20000000012,20180207,1,25,25,19,30373705,PES,5996426.7
15,20000000002,20000000002,20180827,1,64,64,66,84992497,PES,65545.52
16,20000000010,20000000004,20180218,1,79,79,97,79163547,PES,3103220.45
17,20000000006,20000000008,20181027,1,76,76,90,89679520,PES,1528658.31
18,20000000011,20000000005,20191016,1,10,10,14,10428564,PES,6741713.25
19,20000000001,20000000002,20180819,1,83,83,59,93413798,PES,823089.58
20,20000000016,20000000001,20180812,1,15,15,60,70339031,PES,9402899.95
21,20000000011,20000000012,20190126,1,89,89,46,95242643,PES,7627148.59
22,20000000006,20000000015,20181226,1,48,48,22,43057809,PES,7799965.63
23,20000000013,20000000012,20190528,1,52,52,56,92482919,PES,6445929.0
24,20000000007,20000000007,20181028,1,12,12,11,21989748,PES,344435.54
25,20000000007,20000000006,20190627,1,50,50,73,32549364,PES,7393204.43
26,20000000016,20000000004,20180812,1,67,67,69,67033851,PES,7911738.36
27,20000000010,20000000010,20180625,1,19,19,59,50723724,PES,987341.83
28,20000000014,20000000013,20180912,1,29,29,16,95833835,PES,7689428.8
29,20000000002,20000000009,20190716,1,74,74,4,96852320,PES,907663.21
30,20000000002,20000000007,20191008,1,51,51,54,68122305,PES,1917754.31
31,20000000009,20000000013,20190716,1,92,92,78,30607124,PES,2640622.03
32,20000000013,20000000003,20180217,1,77,77,16,84733654,PES,2507313.62
33,20000000010,20000000014,20190522,1,95,95,38,54958767,PES,5859350.18
34,20000000004,20000000016,20180401,1,17,17,78,43098288,PES,2420545.68
35,20000000010,20000000010,20190122,1,98,98,99,33270608,PES,3047534.05
